Course ID,CRN,Department,Course Title,Cr Hr,Typ,Days,From-Time,To-Time,Start-Date To End-Date,Bldg,Room,Max_Enr,PoT,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Comment
MATH-0130-405,41538,MATHEMATICS & COMPUTING,Tutorial,0,TUT,W,1830pm,1920pm,03-SEP-20 To 22-DEC-20,EA,EA1024,25,1,TBA,,,,
MATH-0130-406,41539,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1830pm,1920pm,03-SEP-20 To 22-DEC-20,EA,EA1024,25,1,TBA,,,,
MATH-0130-407,41540,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,2030pm,2120pm,03-SEP-20 To 22-DEC-20,LP,B217,25,1,TBA,,,,
MATH-0130-408,41541,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,2030pm,2120pm,03-SEP-20 To 22-DEC-20,LP,B217,25,1,TBA,,,,
MATH-0130-409,41542,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1030am,1120am,03-SEP-20 To 22-DEC-20,LP,W207,25,1,TBA,,,,
MATH-0130-410,41543,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1430pm,1520pm,03-SEP-20 To 22-DEC-20,LP,T234,25,1,TBA,,,,
MATH-0130-465,41544,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1000am,1050am,03-SEP-20 To 22-DEC-20,LP,B217,5,1,TBA,,,,RESTRICTION: Indigenous University Bridging Program |
MATH-0131-001,41545,MATHEMATICS & COMPUTING,Calculus and Matrices,0,LEC,T R,1000am,1220pm,03-SEP-20 To 22-DEC-20,LP,T225,40,1,TBA,,,,
MATH-0132-001,41546,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,M W,0830am,1020am,03-SEP-20 To 22-DEC-20,LP,B219,50,1,TBA,,,,Lecture 001 take tutorial 401 or 402.
MATH-0132-001,41546,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,F,0830am,0920am,03-SEP-20 To 22-DEC-20,LP,B219,50,1,TBA,,,,Lecture 001 take tutorial 401 or 402.
MATH-0132-002,41547,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,T R,1600pm,1820pm,03-SEP-20 To 22-DEC-20,LP,B219,50,1,TBA,,,,Lecture 002 take tutorial 403 or 404.
MATH-0132-003,41548,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,T R,1300pm,1520pm,03-SEP-20 To 22-DEC-20,LP,B219,50,1,TBA,,,,Lecture 003 take tutorial 405 or 406.
MATH-0132-004,41549,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,M W,1230pm,1420pm,03-SEP-20 To 22-DEC-20,LP,B219,50,1,TBA,,,,Lecture 004 take tutorial 407 or 408.
MATH-0132-004,41549,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,F,1230pm,1320pm,03-SEP-20 To 22-DEC-20,EA,EA2031,50,1,TBA,,,,Lecture 004 take tutorial 407 or 408.
MATH-0132-065,41550,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,M W,0830am,1020am,03-SEP-20 To 22-DEC-20,EB,EB1109,30,1,TBA,,,,RESTRICTION: Indigenous University Bridging Program | Lecture 065 take tutorial 465.
MATH-0132-065,41550,MATHEMATICS & COMPUTING,Foundations of Mathematics II,0,LEC,F,0830am,0920am,03-SEP-20 To 22-DEC-20,EB,EB1109,30,1,TBA,,,,RESTRICTION: Indigenous University Bridging Program | Lecture 065 take tutorial 465.
MATH-0132-401,41551,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1130am,1220pm,03-SEP-20 To 22-DEC-20,LP,T234,25,1,TBA,,,,
MATH-0132-402,41552,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,0900am,0950am,03-SEP-20 To 22-DEC-20,LP,Y210,25,1,TBA,,,,
MATH-0132-403,41553,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1830pm,1920pm,03-SEP-20 To 22-DEC-20,LP,B219,25,1,TBA,,,,
MATH-0132-404,41554,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1830pm,1920pm,03-SEP-20 To 22-DEC-20,LP,B219,25,1,TBA,,,,
MATH-0132-405,41555,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1600pm,1650pm,03-SEP-20 To 22-DEC-20,LP,Y210,25,1,TBA,,,,
MATH-0132-406,41556,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1600pm,1650pm,03-SEP-20 To 22-DEC-20,LP,W227,25,1,TBA,,,,
MATH-0132-407,41557,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1130am,1220pm,03-SEP-20 To 22-DEC-20,EA,EA2056,25,1,TBA,,,,
MATH-0132-408,41558,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1030am,1120am,03-SEP-20 To 22-DEC-20,EA,EA2056,25,1,TBA,,,,
MATH-0132-465,41559,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,0930am,1020am,03-SEP-20 To 22-DEC-20,EB,EB1109,30,1,TBA,,,,RESTRICTION: Indigenous University Bridging Program |
MATH-1103-001,41560,MATHEMATICS & COMPUTING,Intro.  Statistical Reasoning,3,LEC,M W,1600pm,1720pm,03-SEP-20 To 22-DEC-20,EA,EA2013,35,1,La Haye R, ,,,
MATH-1150-001,41561,MATHEMATICS & COMPUTING,Mathematical Reasoning,3,LEC,M W,1130am,1250pm,03-SEP-20 To 22-DEC-20,EA,EA2058,35,1,Lagu I, ,,,
MATH-1185-001,41562,MATHEMATICS & COMPUTING,Calculus with Applications,3,LEC,T R,1600pm,1720pm,03-SEP-20 To 22-DEC-20,LP,Y316,30,1,Zizler P, ,,,RESTRICTION: Bachelor of Science - Environmental Science | Lecture 001 take lab 501.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.
MATH-1185-501,41563,MATHEMATICS & COMPUTING,Laboratory,0,LAB,M W,1130am,1220pm,03-SEP-20 To 22-DEC-20,LP,B162,30,1,Sobhanzadeh M,,,,
MATH-1200-001,41564,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,W F,1000am,1120am,03-SEP-20 To 22-DEC-20,EB,EB1102,48,1,Roettger E, ,,,RESTRICTION: Bachelor of Science - Computer Science | Lecture 001 take tutorial 401 or 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.ht m for details.
MATH-1200-001,41564,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,R,1000am,1050am,03-SEP-20 To 22-DEC-20,EB,EB1102,48,1,Roettger E, ,,,RESTRICTION: Bachelor of Science - Computer Science | Lecture 001 take tutorial 401 or 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.ht m for details.
MATH-1200-002,41565,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,T R,1130am,1250pm,03-SEP-20 To 22-DEC-20,LP,B219,48,1,Killough D, ,,,RESTRICTION: Bachelor Degree Students | Lecture 002 take tutorial 403 or 404.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details
MATH-1200-002,41565,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,W,1130am,1220pm,03-SEP-20 To 22-DEC-20,LP,B219,48,1,Killough D, ,,,RESTRICTION: Bachelor Degree Students | Lecture 002 take tutorial 403 or 404.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details
MATH-1200-003,41566,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,W F,1600pm,1720pm,03-SEP-20 To 22-DEC-20,EA,EA2057,48,1,Videla Rico C,,,,RESTRICTION: Bachelor Degree Students | Lecture 003 take tutorial 405 or 406.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details
MATH-1200-003,41566,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,R,1600pm,1650pm,03-SEP-20 To 22-DEC-20,EA,EA2057,48,1,Videla Rico C,,,,RESTRICTION: Bachelor Degree Students | Lecture 003 take tutorial 405 or 406.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details
MATH-1200-004,41567,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,W F,1600pm,1720pm,03-SEP-20 To 22-DEC-20,LP,B217,48,1,Smith D, ,,,RESTRICTION: Bachelor Degree Students | Lecture 004 take tutorial 407 or 408.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details
MATH-1200-004,41567,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,R,1600pm,1650pm,03-SEP-20 To 22-DEC-20,LP,B217,48,1,Smith D, ,,,RESTRICTION: Bachelor Degree Students | Lecture 004 take tutorial 407 or 408.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details
MATH-1200-005,41568,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,T R,1430pm,1550pm,03-SEP-20 To 22-DEC-20,LP,B217,48,1,Svishchuk M, ,,,RESTRICTION: Bachelor Degree Students | Lecture 005 take tutorial 409 or 410.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details
MATH-1200-005,41568,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,W,1430pm,1520pm,03-SEP-20 To 22-DEC-20,LP,B217,48,1,Svishchuk M, ,,,RESTRICTION: Bachelor Degree Students | Lecture 005 take tutorial 409 or 410.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details
MATH-1200-006,41569,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,T R,1300pm,1420pm,03-SEP-20 To 22-DEC-20,EB,EB1102,48,1,La Haye R, ,,,RESTRICTION: Bachelor Degree Students | Lecture 006 take tutorial 411 or 412.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details
MATH-1200-006,41569,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,W,1300pm,1350pm,03-SEP-20 To 22-DEC-20,EB,EB1102,48,1,La Haye R,,,,RESTRICTION: Bachelor Degree Students | Lecture 006 take tutorial 411 or 412.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details
MATH-1200-007,41570,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,M W,1430pm,1550pm,03-SEP-20 To 22-DEC-20,EA,EA2057,48,1,Thangarajah P, ,,,Lecture 007 take tutorial 413 or 414.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.
MATH-1200-007,41570,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,T,1430pm,1520pm,03-SEP-20 To 22-DEC-20,EA,EA2057,48,1,Thangarajah P, ,,,Lecture 007 take tutorial 413 or 414.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.
MATH-1200-008,42644,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,T R,1130am,1250pm,03-SEP-20 To 22-DEC-20,EB,EB1018,48,1,Videla Rico C, ,,,Lecture 008 take tutorial 415 or 416.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.
MATH-1200-008,42644,MATHEMATICS & COMPUTING,Calculus for Scientists I,3,LEC,W,1130am,1220pm,03-SEP-20 To 22-DEC-20,EB,EB1010,48,1,Videla Rico C, ,,,Lecture 008 take tutorial 415 or 416.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.
MATH-1200-401,41571,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1530pm,1620pm,03-SEP-20 To 22-DEC-20,LP,B220,24,1,Roettger E, ,,,
MATH-1200-402,41572,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1630pm,1720pm,03-SEP-20 To 22-DEC-20,LP,B220,24,1,Roettger E, ,,,
MATH-1200-403,41573,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1500pm,1550pm,03-SEP-20 To 22-DEC-20,LP,E125,24,1,Killough D, ,,,
MATH-1200-404,41574,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1600pm,1650pm,03-SEP-20 To 22-DEC-20,LP,E125,24,1,Killough D, ,,,
MATH-1200-405,41575,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,0830am,0920am,03-SEP-20 To 22-DEC-20,LP,B217,24,1,Smith D,,,,
MATH-1200-406,41576,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,0930am,1020am,03-SEP-20 To 22-DEC-20,LP,B217,24,1,Smith D,,,,
MATH-1200-407,41577,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1030am,1120am,03-SEP-20 To 22-DEC-20,LP,B217,24,1,Videla Rico C, ,,,
MATH-1200-408,41578,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1130am,1220pm,03-SEP-20 To 22-DEC-20,LP,B217,24,1,Videla Rico C, ,,,
MATH-1200-409,41579,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1000am,1050am,03-SEP-20 To 22-DEC-20,LP,B222,24,1,Svishchuk M, ,,,
MATH-1200-410,41580,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1100am,1150am,03-SEP-20 To 22-DEC-20,LP,B222,24,1,Svishchuk M, ,,,
MATH-1200-411,41581,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1130am,1220pm,03-SEP-20 To 22-DEC-20,LP,B231,24,1,La Haye R, ,,,
MATH-1200-412,41582,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1230pm,1320pm,03-SEP-20 To 22-DEC-20,LP,B231,24,1,La Haye R, ,,,
MATH-1200-413,41583,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1400pm,1450pm,03-SEP-20 To 22-DEC-20,LP,E123,24,1,Thangarajah P, ,,,
MATH-1200-414,41584,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1500pm,1550pm,03-SEP-20 To 22-DEC-20,LP,W207,24,1,Thangarajah P, ,,,
MATH-1200-415,42645,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1130am,1220pm,03-SEP-20 To 22-DEC-20,EB,EB1018,24,1,Videla Rico C, ,,,
MATH-1200-416,42646,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1230pm,1320pm,03-SEP-20 To 22-DEC-20,EB,EB1018,24,1,Videla Rico C, ,,,
MATH-1203-001,41585,MATHEMATICS & COMPUTING,Algebra for Scientists & Engr,3,LEC,W F,1130am,1250pm,03-SEP-20 To 22-DEC-20,EB,EB1102,45,1,Thangarajah P, ,,,Lecture 001 take tutorial 401.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.
MATH-1203-002,41586,MATHEMATICS & COMPUTING,Algebra for Scientists & Engr,3,LEC,M W,1300pm,1420pm,03-SEP-20 To 22-DEC-20,EA,EA1053,45,1,Bhandari G, ,,,Lecture 002 take tutorial 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.
MATH-1203-003,41587,MATHEMATICS & COMPUTING,Algebra for Scientists & Engr,3,LEC,M W,1300pm,1420pm,03-SEP-20 To 22-DEC-20,LP,O218,45,1,Svishchuk M, ,,,RESTRICTION: Bachelor of Science - Computer Science | Lecture 003 take tutorial 403.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for d etails.
MATH-1203-401,41588,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1130am,1220pm,03-SEP-20 To 22-DEC-20,LP,X305,45,1,Thangarajah P, ,,,
MATH-1203-402,41589,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1300pm,1350pm,03-SEP-20 To 22-DEC-20,LP,B217,45,1,Bhandari G, ,,,
MATH-1203-403,41590,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1300pm,1350pm,03-SEP-20 To 22-DEC-20,EA,EA1024,45,1,Svishchuk M, ,,,
MATH-1205-001,41591,MATHEMATICS & COMPUTING,The Beauty of Mathematics,3,LEC,W F,1430pm,1550pm,03-SEP-20 To 22-DEC-20,EA,EA1022,36,1,Lagu I, ,,,
MATH-1505-001,41592,MATHEMATICS & COMPUTING,Puzzling Adventures in Math,3,LEC,M W,1300pm,1420pm,03-SEP-20 To 22-DEC-20,LP,T235,40,1,Dawson A, ,,,Lecture 001 take tutorial 401 or 402.
MATH-1505-401,41593,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1030am,1120am,03-SEP-20 To 22-DEC-20,LP,B220,20,1,Dawson A, ,,,
MATH-1505-402,41594,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1130am,1220pm,03-SEP-20 To 22-DEC-20,LP,B220,20,1,Dawson A, ,,,
MATH-2200-001,41595,MATHEMATICS & COMPUTING,Calculus for Scientists II,3,LEC,M T R,1430pm,1520pm,03-SEP-20 To 22-DEC-20,LP,Y316,40,1,Lagu I, ,,,Lecture 001 take tutorial 401.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.
MATH-2200-401,41596,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1630pm,1720pm,03-SEP-20 To 22-DEC-20,LP,W227,40,1,Lagu I, ,,,
MATH-2233-001,41597,MATHEMATICS & COMPUTING,Statistics for Biol Sciences,3,LEC,M W,0830am,0950am,03-SEP-20 To 22-DEC-20,LP,E133,36,1,Liu S,,,,"RESTRICTION: Bachelor of Science - Biology, Cellular and Molecular Biology, and Health Science majors | Lecture 001 take tutorial 401.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal"
MATH-2233-002,41598,MATHEMATICS & COMPUTING,Statistics for Biol Sciences,3,LEC,T R,0830am,0950am,03-SEP-20 To 22-DEC-20,LP,T231,36,1,Bhandari G, ,,,"RESTRICTION: Bachelor of Science - Biology, Cellular and Molecular Biology, and Health Science majors | Lecture 002 take tutorial 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal"
MATH-2233-401,41599,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,0830am,1020am,03-SEP-20 To 22-DEC-20,EB,EB1011,36,1,Liu S,,,,
MATH-2233-402,41600,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1430pm,1620pm,03-SEP-20 To 22-DEC-20,EB,EB1011,36,1,Bhandari G, ,,,
MATH-2235-001,41601,MATHEMATICS & COMPUTING,Stat with App in Geology,3,LEC,M W,1600pm,1720pm,03-SEP-20 To 22-DEC-20,LP,E131,30,1,Krishnamurthy A, ,,,RESTRICTION: Bachelor of Science - Geology | Lecture 001 take tutorial 401 and lab 501.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm f or details.
MATH-2235-401,41602,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1500pm,1550pm,03-SEP-20 To 22-DEC-20,LP,T130,30,1,Krishnamurthy A, ,,,
MATH-2235-501,41603,MATHEMATICS & COMPUTING,Laboratory,0,LAB,T,1600pm,1650pm,03-SEP-20 To 22-DEC-20,EB,EB1011,30,1,Krishnamurthy A, ,,,
MATH-2333-001,41604,MATHEMATICS & COMPUTING,Statistics for Life Sciences,3,LEC,T R,1430pm,1550pm,03-SEP-20 To 22-DEC-20,LP,T225,40,1,Liu S, ,,,RESTRICTION: Bachelor of Nursing and Bachelor of Midwifery | Lecture 001 take tutorial 401.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.ht m for details.
MATH-2333-002,41605,MATHEMATICS & COMPUTING,Statistics for Life Sciences,3,LEC,M W,1130am,1250pm,03-SEP-20 To 22-DEC-20,LP,E133,40,1,Bhandari G, ,,,RESTRICTION: Bachelor of Nursing and Bachelor of Midwifery | Lecture 002 take tutorial 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.ht m for details.
MATH-2333-003,41606,MATHEMATICS & COMPUTING,Statistics for Life Sciences,3,LEC,M W,1130am,1250pm,03-SEP-20 To 22-DEC-20,LP,T235,40,1,Roettger E, ,,,RESTRICTION: Bachelor of Nursing and Bachelor of Midwifery | Lecture 003 take tutorial 403.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.ht m for details.
MATH-2333-401,41607,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,1400pm,1450pm,03-SEP-20 To 22-DEC-20,LP,E147,40,1,Liu S, ,,,
MATH-2333-402,41608,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1030am,1120am,03-SEP-20 To 22-DEC-20,LP,E147,40,1,Bhandari G, ,,,
MATH-2333-403,41609,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1130am,1220pm,03-SEP-20 To 22-DEC-20,LP,E147,40,1,Roettger E, ,,,
MATH-3202-001,41610,MATHEMATICS & COMPUTING,Mathematics through the Ages,3,LEC,W F,1600pm,1720pm,03-SEP-20 To 22-DEC-20,LP,T131,35,1,Lagu I, ,,,
MATH-4201-001,41611,MATHEMATICS & COMPUTING,Seminar,3,LEC,M,1130am,1420pm,03-SEP-20 To 22-DEC-20,EA,EA1045,10,1,Zizler P, ,,,RESTRICTION: Department Approval |
